%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude
1631534995971800053,397734,1631534995968266046,,67.7963027954,21.0725955963,406.079986572,26.4570007324
1631534996104887378,397735,1631534996096025575,,67.7963027954,21.0725955963,406.290008545,26.6620006561
1631534996224877199,397736,1631534996218803421,,67.7963104248,21.0725975037,406.5,26.8740005493
1631534996348866594,397737,1631534996345166027,,67.7963104248,21.0725975037,406.720001221,27.0939998627
1631534996479306181,397738,1631534996475792302,,67.7963104248,21.072599411,406.950012207,27.3269996643
1631534996605952978,397739,1631534996600307487,,67.7963180542,21.0726013184,407.209991455,27.5799999237
1631534996723958163,397740,1631534996718504352,,67.7963256836,21.0726013184,407.440002441,27.8129997253
1631534996849745314,397741,1631534996845123213,,67.7963256836,21.0726032257,407.660003662,28.0389995575
1631534996970825628,397742,1631534996968713377,,67.796333313,21.0726051331,407.869995117,28.2460002899
1631534997106857138,397743,1631534997101736958,,67.7963409424,21.0726070404,408.079986572,28.4519996643
1631534997228463370,397744,1631534997219013025,,67.7963409424,21.0726089478,408.290008545,28.6679992676
1631534997353564699,397745,1631534997345799214,,67.7963485718,21.0726089478,408.519989014,28.8899993896
1631534997474368374,397746,1631534997471799900,,67.7963485718,21.0726108551,408.739990234,29.1159992218
1631534997602150911,397747,1631534997598411080,,67.7963485718,21.0726108551,408.980010986,29.3579998016
1631534997722205788,397748,1631534997718421637,,67.7963562012,21.0726127625,409.230010986,29.6009998322
1631534997856187895,397749,1631534997845332785,,67.7963638306,21.0726146698,409.480010986,29.8509998322
1631534997973197819,397750,1631534997968622950,,67.7963638306,21.0726165771,409.720001221,30.0979995728
1631534998099441416,397751,1631534998095300722,,67.79637146,21.0726184845,409.970001221,30.3490009308
1631534998224050490,397752,1631534998218705927,,67.7963790894,21.0726184845,410.220001221,30.5990009308
1631534998351356709,397753,1631534998345918386,,67.7963867188,21.0726203918,410.470001221,30.8449993134
1631534998478212369,397754,1631534998473690492,,67.7963867188,21.0726203918,410.720001221,31.093000412
