rosbagTimestamp_in_nanoseconds,header,seq,stamp,secs,nsecs,frame_id,latitude,longitude,altitude,relative_altitude
1639659284370889799,,3760,,1639659284,369454529,'',55.4716339111,10.3260211945,29.7999992371,0.949000000954
1639659284411159666,,3761,,1639659284,410453583,'',55.4716339111,10.3260211945,29.7999992371,0.949000000954
1639659284453402406,,3762,,1639659284,450341209,'',55.4716339111,10.3260211945,29.8099994659,0.949999988079
1639659284495971290,,3763,,1639659284,494836342,'',55.4716339111,10.3260211945,29.8099994659,0.949999988079
1639659284531367825,,3764,,1639659284,530183020,'',55.4716339111,10.3260211945,29.8099994659,0.950999975204
1639659284570474647,,3765,,1639659284,569250674,'',55.4716339111,10.3260211945,29.8099994659,0.950999975204
1639659284610883331,,3766,,1639659284,610150559,'',55.4716339111,10.3260211945,29.8099994659,0.952000021935
1639659284651850321,,3767,,1639659284,650372394,'',55.4716339111,10.3260211945,29.8099994659,0.952000021935
1639659284696104301,,3768,,1639659284,692835071,'',55.4716339111,10.3260211945,29.8099994659,0.95300000906
1639659284730690783,,3769,,1639659284,729195801,'',55.4716339111,10.3260211945,29.8099994659,0.95300000906
1639659284773091412,,3770,,1639659284,770469128,'',55.4716339111,10.3260211945,29.8099994659,0.95300000906
1639659284811245430,,3771,,1639659284,810304274,'',55.4716339111,10.3260211945,29.8099994659,0.953999996185
1639659284851438432,,3772,,1639659284,850332220,'',55.4716339111,10.3260211945,29.8099994659,0.953999996185
1639659284894863385,,3773,,1639659284,894044341,'',55.4716339111,10.3260211945,29.8099994659,0.953999996185
1639659284931286772,,3774,,1639659284,930425264,'',55.4716339111,10.3260211945,29.8099994659,0.954999983311
1639659284971162141,,3775,,1639659284,970138073,'',55.4716339111,10.3260211945,29.8099994659,0.954999983311
1639659285011838826,,3776,,1639659285,10306659,'',55.4716339111,10.3260211945,29.8099994659,0.955999970436
1639659285051864884,,3777,,1639659285,50596335,'',55.4716339111,10.3260211945,29.8099994659,0.955999970436
1639659285095978127,,3778,,1639659285,92777634,'',55.4716339111,10.3260211945,29.8099994659,0.955999970436
1639659285131899048,,3779,,1639659285,130485922,'',55.4716339111,10.3260211945,29.8099994659,0.957000017166
1639659285173047223,,3780,,1639659285,170552492,'',55.4716339111,10.3260211945,29.8099994659,0.957000017166
1639659285210013844,,3781,,1639659285,209299953,'',55.4716339111,10.3260211945,29.8099994659,0.958000004292
1639659285252534216,,3782,,1639659285,250113598,'',55.4716339111,10.3260211945,29.8099994659,0.958000004292
1639659285293915288,,3783,,1639659285,292873524,'',55.4716339111,10.3260211945,29.8099994659,0.958000004292
1639659285331239831,,3784,,1639659285,330138226,'',55.4716339111,10.3260211945,29.8099994659,0.958000004292
1639659285369904667,,3785,,1639659285,369216280,'',55.4716339111,10.3260211945,29.8099994659,0.958999991417
1639659285410899497,,3786,,1639659285,410154822,'',55.4716339111,10.3260211945,29.8099994659,0.958999991417
1639659285450373745,,3787,,1639659285,449212812,'',55.4716339111,10.3260211945,29.8199996948,0.959999978542
1639659285495730418,,3788,,1639659285,492982214,'',55.4716339111,10.3260211945,29.8199996948,0.959999978542
1639659285534766679,,3789,,1639659285,533211249,'',55.4716339111,10.3260211945,29.8199996948,0.961000025272
1639659285571879957,,3790,,1639659285,570436335,'',55.4716339111,10.3260211945,29.8199996948,0.961000025272
1639659285611325725,,3791,,1639659285,610118871,'',55.4716339111,10.3260211945,29.8199996948,0.962000012398
1639659285651818665,,3792,,1639659285,650327842,'',55.4716339111,10.3260211945,29.8199996948,0.962000012398
1639659285694452766,,3793,,1639659285,692774999,'',55.4716339111,10.3260211945,29.8199996948,0.962999999523
1639659285730563607,,3794,,1639659285,729292722,'',55.4716339111,10.3260211945,29.8199996948,0.962999999523
1639659285771111331,,3795,,1639659285,770273696,'',55.4716339111,10.3260211945,29.8199996948,0.963999986649
1639659285811328270,,3796,,1639659285,810162313,'',55.4716339111,10.3260211945,29.8199996948,0.963999986649
1639659285851616089,,3797,,1639659285,850356084,'',55.4716339111,10.3260211945,29.8199996948,0.964999973774
1639659285894042414,,3798,,1639659285,892374503,'',55.4716339111,10.3260211945,29.8199996948,0.964999973774
1639659285930545961,,3799,,1639659285,929288355,'',55.4716339111,10.3260211945,29.8199996948,0.966000020504
1639659285971145365,,3800,,1639659285,970123089,'',55.4716339111,10.3260211945,29.8199996948,0.966000020504
1639659286011821122,,3801,,1639659286,10361180,'',55.4716339111,10.3260211945,29.8199996948,0.967000007629
1639659286051463242,,3802,,1639659286,50128005,'',55.4716339111,10.3260211945,29.8199996948,0.967000007629
1639659286093445661,,3803,,1639659286,91747765,'',55.4716339111,10.3260211945,29.8199996948,0.967999994755
1639659286131375102,,3804,,1639659286,130390394,'',55.4716339111,10.3260211945,29.8199996948,0.96899998188
1639659286169901666,,3805,,1639659286,169205247,'',55.4716339111,10.3260211945,29.8199996948,0.96899998188
1639659286211369394,,3806,,1639659286,210329037,'',55.4716339111,10.3260211945,29.8299999237,0.97000002861
1639659286254528169,,3807,,1639659286,250190839,'',55.4716339111,10.3260211945,29.8299999237,0.971000015736
1639659286297338367,,3808,,1639659286,292854700,'',55.4716339111,10.3260211945,29.8299999237,0.972000002861
1639659286331513936,,3809,,1639659286,330133802,'',55.4716339111,10.3260211945,29.8299999237,0.972999989986
1639659286371362745,,3810,,1639659286,370380981,'',55.4716339111,10.3260211945,29.8299999237,0.973999977112
1639659286411470148,,3811,,1639659286,410156254,'',55.4716339111,10.3260211945,29.8299999237,0.975000023842
1639659286450590474,,3812,,1639659286,449248132,'',55.4716339111,10.3260211945,29.8299999237,0.976000010967
1639659286495345288,,3813,,1639659286,492989886,'',55.4716339111,10.3260211945,29.8299999237,0.977999985218
1639659286530419485,,3814,,1639659286,529205784,'',55.4716339111,10.3260211945,29.8299999237,0.978999972343
1639659286571588364,,3815,,1639659286,570319015,'',55.4716339111,10.3260211945,29.8400001526,0.980000019073
1639659286610939795,,3816,,1639659286,610298320,'',55.4716339111,10.3260211945,29.8400001526,0.981000006199
1639659286651465087,,3817,,1639659286,650360283,'',55.4716339111,10.3260211945,29.8400001526,0.98299998045
1639659286694137973,,3818,,1639659286,692774575,'',55.4716339111,10.3260211945,29.8400001526,0.98400002718
1639659286732638008,,3819,,1639659286,730569327,'',55.4716339111,10.3260211945,29.8400001526,0.985000014305
1639659286771516509,,3820,,1639659286,770191800,'',55.4716339111,10.3260211945,29.8400001526,0.986999988556
1639659286810524611,,3821,,1639659286,809255710,'',55.4716339111,10.3260211945,29.8400001526,0.987999975681
1639659286851355824,,3822,,1639659286,850256556,'',55.4716339111,10.3260211945,29.8500003815,0.990000009537
1639659286894537928,,3823,,1639659286,891798300,'',55.4716339111,10.3260211945,29.8500003815,0.990999996662
1639659286931166947,,3824,,1639659286,930439520,'',55.4716339111,10.3260211945,29.8500003815,0.992999970913
1639659286971697712,,3825,,1639659286,970277290,'',55.4716339111,10.3260211945,29.8500003815,0.994000017643
